kanji,onyomi,kunyomi,meaning
範%@,hanハン%@,%@,"pattern, example, model%@"
隠%@,"in, onイン、 オン%@","kaku(su), yo(ru)かく(す)、 よ(る)%@","conceal, hide, cover%@"
徳%@,tokuトク%@,%@,"benevolence, virtue, goodness, commanding respect%@"
哲%@,tetsuテツ%@,"satoi, akirakaさとい、 あきらか%@","philosophy, clear%@"
杉%@,sanサン%@,sugiすぎ%@,"cedar, cryptomeria%@"
里%@,riリ%@,satoさと%@,"ri, village, parent's home, league%@"
釈%@,"shaku, sekiシャク、 セキ%@","toku, su(teru), yuru(su)とく、 す(てる)、 ゆる(す)%@",explanation%@
己%@,"ko, kiコ、 キ%@","onore, tsuchinoto, naおのれ、 つちのと、 な%@",self%@
妥%@,daダ%@,%@,"gentle, peace, satisfactory, appropriate%@"
威%@,iイ%@,odo(su)おど(す)%@,"intimidate, dignity, majesty, menace, threaten%@"
豪%@,gouゴウ%@,era(i)えら(い)%@,"overpowering, great, powerful, excelling, Australia%@"
熊%@,yuuユウ%@,kumaくま%@,bear%@
滞%@,"tai, teiタイ、 テイ%@",todokoo(ru)とどこお(る)%@,"stagnate, be delayed, overdue, arrears%@"
微%@,biビ%@,kasu(ka)かす(か)%@,"delicate, minuteness, insignificance%@"
隆%@,ryuuリュウ%@,%@,"hump, high, noble, prosperity%@"
症%@,shouショウ%@,%@,"symptoms, illness%@"
暫%@,zanザン%@,shibara(ku)しばら(く)%@,"temporarily, a while, moment, long time%@"
忠%@,chuuチュウ%@,%@,"loyalty, fidelity, faithfulness%@"
倉%@,souソウ%@,kuraくら%@,"godown, warehouse, storehouse, cellar, treasury%@"
彦%@,genゲン%@,hikoひこ%@,"lad, boy (ancient)%@"
肝%@,kanカン%@,kimoきも%@,"liver, pluck, nerve, chutzpah%@"
喚%@,kanカン%@,wame(ku)わめ(く)%@,"yell, cry, call, scream, summon%@"
沿%@,enエン%@,"so(u), -zo(i)そ(う)、 -ぞ(い)%@","run alongside, follow along, run along, lie along%@"
妙%@,"myou, byouミョウ、 ビョウ%@",taeたえ%@,"exquisite, strange, queer, mystery, miracle, excellent, delicate, charming%@"
唱%@,shouショウ%@,tona(eru)とな(える)%@,"chant, recite, call upon, yell%@"
阿%@,"a, oア、 オ%@","omone(ru), kumaおもね(る)、 くま%@","Africa, flatter, fawn upon, corner, nook, recess%@"
索%@,sakuサク%@,%@,"cord, rope, searching, inquiring%@"
誠%@,seiセイ%@,makotoまこと%@,"sincerity, admonish, warn, prohibit, truth, fidelity%@"
襲%@,shuuシュウ%@,"oso(u), kasa(ne)おそ(う)、 かさ(ね)%@","attack, advance on, succeed to, pile, heap%@"
懇%@,konコン%@,nengo(ro)ねんご(ろ)%@,"sociable, kind, courteous, hospitable, cordial%@"
俳%@,haiハイ%@,%@,"haiku, actor%@"
柄%@,heiヘイ%@,"gara, e, tsukaがら、 え、 つか%@","design, pattern, build, nature, character, handle, crank, grip, knob, shaft%@"
驚%@,kyouキョウ%@,odoro(ku)おどろ(く)%@,"wonder, be surprised, frightened, amazed%@"
麻%@,"ma, maaマ、 マア%@",asaあさ%@,"hemp, flax, numb%@"
李%@,riリ%@,sumomoすもも%@,plum%@
浩%@,kouコウ%@,"ooki(i), hiro(i)おおき(い)、 ひろ(い)%@","wide expanse, abundance, vigorous%@"
剤%@,"zai, sui, seiザイ、 スイ、 セイ%@","karu, kezu(ru)かる、 けず(る)%@","dose, medicine, drug%@"
瀬%@,raiライ%@,seせ%@,"rapids, current, torrent, shallows, shoal%@"
趣%@,shuシュ%@,"omomuki, omomu(ku)おもむき、 おもむ(く)%@","purport, gist, elegance, interest, proceed to, tend, become%@"
陥%@,kanカン%@,"ochii(ru), otoshii(reru)おちい(る)、 おとしい(れる)%@","collapse, fall into, cave in, fall (castle), slide into%@"
斎%@,saiサイ%@,"toki, tsutsushi(mu), monoimi, i(mu), iwa(u), itsu(ku)とき、 つつし(む)、 ものいみ、 い(む)、 いわ(う)、 いつ(く)%@","purification, Buddhist food, room, worship, avoid, alike%@"
貫%@,kanカン%@,"tsuranu(ku), nu(ku), nukiつらぬ(く)、 ぬ(く)、 ぬき%@","pierce, 8 1/3lbs, penetrate, brace%@"
仙%@,"sen, sentoセン、 セント%@",%@,"hermit, wizard, cent%@"
慰%@,iイ%@,nagusa(meru)なぐさ(める)%@,"consolation, amusement, seduce, cheer, make sport of, comfort, console%@"
序%@,joジョ%@,"tsui(de), tsuideつい(で)、 ついで%@","preface, beginning, order, precedence, occasion, chance, incidentally%@"
旬%@,"jun, shunジュン、 シュン%@",%@,"decameron, ten-day period, season (for specific products)%@"
兼%@,kenケン%@,"ka(neru), -ka(neru)か(ねる)、 -か(ねる)%@","concurrently, and, beforehand, in advance%@"
聖%@,"sei, shouセイ、 ショウ%@",hijiriひじり%@,"holy, saint, sage, master, priest%@"
旨%@,shiシ%@,"mune, uma(i)むね、 うま(い)%@","delicious, relish, show a liking for, purport, will, clever, expert%@"
即%@,sokuソク%@,"tsu(ku), sunawa(chi)つ(く)、 すなわ(ち)%@","instant, namely, as is, conform, agree, adapt%@"
柳%@,ryuuリュウ%@,yanagiやなぎ%@,willow%@
舎%@,"sha, sekiシャ、 セキ%@",yado(ru)やど(る)%@,"cottage, inn, hut, house, mansion%@"
偽%@,"gi, kaギ、 カ%@","itsuwa(ru), niseいつわ(る)、 にせ%@","falsehood, lie, deceive, pretend, counterfeit, forgery%@"
較%@,"kaku, kouカク、 コウ%@",kura(beru)くら(べる)%@,"contrast, compare%@"
覇%@,"ha, hakuハ、 ハク%@",hatagashiraはたがしら%@,"hegemony, supremacy, leadership, champion%@"
畑%@,%@,"hata, hatake, -batakeはた、 はたけ、 -ばたけ%@","farm, field, garden, one's specialty, (kokuji)%@"
詳%@,shouショウ%@,"kuwa(shii), tsumabi(raka)くわ(しい)、 つまび(らか)%@","detailed, full, minute, accurate, well-informed%@"
抵%@,teiテイ%@,%@,"resist, reach, touch%@"
脅%@,kyouキョウ%@,"obiya(kasu), odo(su)おびや(かす)、 おど(す)%@","threaten, coerce%@"
茂%@,moモ%@,shige(ru)しげ(る)%@,"overgrown, grow thick, be luxuriant%@"
犠%@,"gi, kiギ、 キ%@",ikenieいけにえ%@,sacrifice%@
旗%@,kiキ%@,hataはた%@,"national flag, banner, standard%@"
距%@,kyoキョ%@,"heda(taru), kedzumeへだ(たる)、 けづめ%@","long-distance, spur, fetlock%@"
雅%@,gaガ%@,miya(bi)みや(び)%@,"gracious, elegant, graceful, refined%@"
飾%@,shokuショク%@,kaza(ru)かざ(る)%@,"decorate, ornament, adorn, embellish%@"
網%@,mouモウ%@,amiあみ%@,"netting, network%@"
竜%@,"ryuu, ryou, rouリュウ、 リョウ、 ロウ%@","tatsu, iseたつ、 いせ%@","dragon, imperial%@"
詩%@,shiシ%@,utaうた%@,"poem, poetry%@"
繁%@,hanハン%@,shige(ku)しげ(く)%@,"luxuriant, thick, overgrown, frequency, complexity, trouble%@"
翼%@,yokuヨク%@,tsubasaつばさ%@,"wing, plane, flank%@"
茨%@,"shi, jiシ、 ジ%@","ibara, kaya, kusabukiいばら、 かや、 くさぶき%@","briar, thorn%@"
潟%@,sekiセキ%@,"kata, -gataかた、 -がた%@",lagoon%@
敵%@,tekiテキ%@,"kataki, ada, kana(u)かたき、 あだ、 かな(う)%@","enemy, foe, opponent%@"
魅%@,miミ%@,%@,"fascination, charm, bewitch%@"
嫌%@,"ken, genケン、 ゲン%@","kira(i), iyaきら(い)、 いや%@","dislike, detest, hate%@"
斉%@,"sei, saiセイ、 サイ%@","soro(u), hito(shii), ataru, hayaiそろ(う)、 ひと(しい)、 あたる、 はやい%@","adjusted, alike, equal, similar variety of%@"
敷%@,fuフ%@,"shi(ku), -shi(ki)し(く)、 -し(き)%@","spread, pave, sit, promulgate%@"
擁%@,yokuヨウ%@,%@,"hug, embrace, possess, protect, lead%@"
圏%@,kenケン%@,kako(i)かこ(い)%@,"sphere, circle, radius, range%@"
酸%@,sanサン%@,su(i)す(い)%@,"acid, bitterness, sour, tart%@"
罰%@,"batsu, bachi, hatsuバツ、 バチ、 ハツ%@",bas(suru)ばっ(する)%@,"penalty, punishment%@"
滅%@,metsuメツ%@,"horo(biru), horo(bu), horo(basu)ほろ(びる)、 ほろ(ぶ)、 ほろ(ぼす)%@","destroy, ruin, overthrow, perish%@"
礎%@,soソ%@,ishizueいしずえ%@,"cornerstone, foundation stone%@"
腐%@,fuフ%@,"kusa(ru), -kusa(ru)くさ(る)、 -くさ(る)%@","rot, decay, sour%@"
脚%@,"kyaku, kya, kakuキャク、 キャ、 カク%@",ashiあし%@,"skids, leg, undercarriage, lower part, base%@"
菱%@,ryouリョウ%@,hishiひし%@,"diamond (shape), water chestnut, rhombus%@"
潮%@,chouチョウ%@,"shio, ushioしお、 うしお%@","tide, salt water, opportunity%@"
梅%@,baiバイ%@,umeうめ%@,plum%@
尽%@,"jin, sanジン、 サン%@","tsu(kiru), tsu(kusu), -dzu(ku), zu(ku)つ(きる)、 つ(くす)、 -づ(く)、 -ず(く)%@","exhaust, use up, run out of, deplete, befriend, serve%@"
僕%@,bokuボク%@,shimobeしもべ%@,"me, I (male), servant, manservant%@"
桜%@,"ou, youオウ、 ヨウ%@",sakuraさくら%@,cherry%@
滑%@,"katsu, kotsuカツ、 コツ%@","sube(ru), name(raka)すべ.る、 なめ.らか%@","slippery, slide, slip, fail exam%@"
孤%@,koコ%@,%@,"orphan, alone%@"
煕%@,kiキ%@,"tanoshi(mu), hika(ru), hiro(i), yoroko(bu), kawa(ku), akirakaたのし(む)、 ひか(る)、 ひろ(い)、 よろこ(ぶ)、 かわ(く)、 あきらか%@",shine%@
炎%@,enエン%@,honooほのお%@,"inflammation, flame, blaze%@"
賠%@,baiバイ%@,%@,"compensation, indemnify%@"
句%@,kuク%@,%@,"phrase, clause, sentence, passage, paragraph, counter for haiku%@"
寿%@,"ju, su, shuuジュ、 ス、 シュウ%@","kotobuki, kotobu(ku), kotoho(gu)ことぶき、 ことぶ(く)、 ことほ(ぐ)%@","longevity, congratulations, one's natural life%@"
鋼%@,kouコウ%@,haganeはがね%@,steel%@
頑%@,ganガン%@,kataku(na)かたく(な)%@,"stubborn, foolish, firmly%@"
鎖%@,saサ%@,"kusari, toza(su)くさり、 とざ.す%@","chain, irons, connection%@"
彩%@,saiサイ%@,irodo(ru)いろど.る%@,"coloring, paint, makeup%@"
摩%@,maマ%@,"ma(suru), sasu(ru), su(ru)ま(する)、 さす(る)、 す(る)%@","chafe, rub, polish, grind, scrape%@"
励%@,reiレイ%@,"hage(mu), hage(masu)はげ(む)、 はげ(ます)%@","encourage, be diligent, inspire%@"
縦%@,juuジュウ%@,tateたて%@,"vertical, length, height, self-indulgent, wayward%@"
輝%@,kiキ%@,kagaya(ku)かがや(く)%@,"radiance, shine, sparkle, gleam, twinkle%@"
蓄%@,chikuチク%@,takuwa(eru)たくわ(える)%@,"amass, raise, hoard, store%@"
軸%@,jikuジク%@,%@,"axis, pivot, stem, stalk, counter for book scrolls%@"
巡%@,junジュン%@,"megu(ru), megu(ri)めぐ(る)、 めぐ(り)%@","patrol, go around, circumference%@"
稼%@,kaカ%@,kase(gu)かせ(ぐ)%@,"earnings, work, earn money%@"
瞬%@,shunシュン%@,"matata(ku), majiro(gu)またた(く)、 まじろ(ぐ)%@","wink, blink, twinkle%@"
砲%@,houホウ%@,%@,"cannon, gun%@"
噴%@,funフン%@,fukuふ(く)%@,"erupt, spout, emit, flush out%@"
誇%@,koコ%@,hoko(ru)ほこ(る)%@,"boast, be proud, pride, triumphantly%@"
祥%@,shouショウ%@,"saiwa(i), kiza(shi), yo(i), tsumabi(raka)さいわ(い)、 きざ(し)、 よ(い)、 つまび(らか)%@","auspicious, happiness, blessedness, good omen, good fortune%@"
牲%@,seiセイ%@,%@,"animal sacrifice, offering%@"
秩%@,chitsuチツ%@,%@,"regularity, salary, order%@"
帝%@,teiテイ%@,mikadoみかど%@,"sovereign, the emperor, god, creator%@"
宏%@,kouコウ%@,hiro(i)ひろ(い)%@,"wide, large%@"
唆%@,saサ%@,"soso(ru), sosonoka(su)そそ(る)、 そそのか(す)%@","tempt, seduce, instigate, promote%@"
阻%@,soソ%@,haba(mu)はば(む)%@,"thwart, separate from, prevent, obstruct, deter, impede%@"
泰%@,taiタイ%@,%@,"peaceful, calm, peace, easy, Thailand, extreme, excessive, great%@"
賄%@,waiワイ%@,makana(u)まかな(う)%@,"bribe, board, supply, finance%@"
撲%@,bokuボク%@,%@,"slap, strike, hit, beat, tell, speak%@"
堀%@,kutsuクツ%@,horiほり%@,"ditch, moat, canal%@"
菊%@,kikuキク%@,%@,chrysanthemum%@
絞%@,kouコウ%@,"shibo(ru), shi(meru), shi(maru)しぼ(る)、 し(める)、 し(まる)%@","strangle, constrict, wring%@"
縁%@,"en, -nenエン、 -ネン%@","fuchi, yukari, yosuga, heri, enishiふち、 ゆかり、 よすが、 へり、 えにし%@","affinity, relation, connection, edge, border, verge, brink%@"
唯%@,"yui, iユイ、 イ%@",tadaただ%@,"solely, only, merely, simply%@"
膨%@,bouボウ%@,"fuku(ramu), fuku(reru)ふく(らむ)、 ふく(れる)%@","swell, get fat, thick%@"
耐%@,taiタイ%@,ta(eru)た(える)%@,"-proof, enduring%@"
塾%@,jukuジュク%@,%@,"cram school, private school%@"
漏%@,rouロウ%@,"mo(ru), mo(reru), mo(rasu)も(る)、 も(れる)、 も(らす)%@","leak, escape, time%@"
慶%@,keiケイ%@,yoroko(bi)よろこ(び)%@,"jubilation, congratulate, rejoice, be happy%@"
猛%@,mouモウ%@,%@,"fierce, rave, rush, become furious, wildness, strength%@"
芳%@,houホウ%@,kanba(shii)かんば(しい)%@,"perfume, balmy, favorable, fragrant%@"
懲%@,chouチョウ%@,"ko(riru), ko(rasu), ko(rashimeru)こ(りる)、 こ(らす)、 こ(らしめる)%@","penal, chastise, punish, discipline%@"
剣%@,kenケン%@,tsurugiつるぎ%@,"sabre, sword, blade, clock hand%@"
幌%@,kouコウ%@,"horo, tobariほろ、 とばり%@","canopy, awning, hood, curtain%@"
彰%@,shouショウ%@,%@,"patent, clear%@"
棋%@,koキ%@,goご%@,"chess piece, Japanese chess, shogi%@"
丁%@,"chou, tei, chin, tou, chiチョウ、 テイ、 チン、 トウ、 チ%@",hinotoひのと%@,"street, ward, town, counter for guns, tools%@"
恒%@,kouコウ%@,"tsune, tsuneniつね、 つねに%@","constancy, always%@"
揚%@,youヨウ%@,"a(geru), -a(ge)あ(げる)、 -あ(げ)%@","raise, elevate, hoist, praise, extol, fry in deep fat%@"
冒%@,bouボウ%@,oka(su)おか(す)%@,"risk, face, defy, dare, damage, assume (a name)%@"
之%@,shiシ%@,"no, kore, yuku, konoの、 これ、 ゆく、 この%@","of, this%@"
曽%@,"sou, soソウ、 ソ%@","katsu, katsute, sunawachiかつ、 かつて、 すなわち%@","formerly, once, before, ever, never, ex-%@"
倫%@,rinリン%@,%@,"ethics, companion%@"
陳%@,chinチン%@,hi(neru)ひ(ねる)%@,"exhibit, state, relate, explain%@"
憶%@,okuオク%@,%@,"recollection, think, remember%@"
潜%@,senセン%@,"hiso(mu), mogu(ru), kaku(reru), kugu(ru)ひそ(む)、 もぐ(る)、 かく(れる)、 くぐ(る)%@","submerge, conceal, hide, lower (voice), hush%@"
梨%@,riリ%@,nashiなし%@,pear tree%@
仁%@,"jin, ni, ninジン、 ニ、 ニン%@",%@,"humanity, virtue, benevolence, charity, man, kernel%@"
克%@,kokuコク%@,ka(tsu)か(つ)%@,"overcome, kindly, skillfully%@"
岳%@,gakuガク%@,dakeたけ%@,"point, peak, mountain%@"
概%@,gaiガイ%@,oomu(ne)おおむ(ね)%@,"outline, condition, approximation, generally%@"
拘%@,kouコウ%@,kaka(waru)かか(わる)%@,"arrest, seize, concerned, adhere to, despite%@"
墓%@,boボ%@,hakaはか%@,"grave, tomb%@"
黙%@,"moku, bokuモク、 ボク%@","dama(ru), moda(su)だま(る)、 もだ(す)%@","silence, become silent, stop speaking, leave as is%@"
須%@,"su, shuス、 シュ%@","subekara(ku), subeshi, hige, matsu, mochi(iru), moto(meru)すべから(く)、 すべし、 ひげ、 まつ、 もち(いる)、 もと(める)%@","ought, by all means, necessarily%@"
偏%@,henヘン%@,katayo(ru)かたよ(る)%@,"partial, side, left-side radical, inclining, biased%@"
雰%@,funフン%@,%@,"atmosphere, fog%@"
遇%@,guuグウ%@,a(u)あ(う)%@,"meet, encounter, interview, treat, entertain, receive, deal with%@"
諮%@,shiシ%@,haka(ru)はか(る)%@,consult with%@
狭%@,"kyou, kouキョウ、 コウ%@","sema(i), seba(meru), saせま(い)、 せば(める)、 さ%@","cramped, narrow, contract, tight%@"
卓%@,takuタク%@,%@,"eminent, table, desk, high%@"
亀%@,"ki, kyuu, kinキ、 キュウ、 キン%@",kameかめ%@,"tortoise, turtle%@"
糧%@,"ryou, rouリョウ、 ロウ%@",kateかて%@,"provisions, food, bread%@"
梶%@,biビ%@,"kaji, kozueかじ、 こずえ%@",sculling oar%@
簿%@,boボ%@,%@,"register, record book%@"
炉%@,roロ%@,iroriいろり%@,"hearth, furnace, kiln, reactor%@"
牧%@,bokuボク%@,makiまき%@,"breed, care for, shepherd, feed, pasture%@"
殊%@,shuシュ%@,kotoこと%@,"particularly, especially, exceptionally%@"
殖%@,shokuショク%@,"fu(eru), fu(yasu)ふ(える)、 ふ(やす)%@","augment, increase, multiply, raise%@"
艦%@,kanカン%@,%@,warship%@
輩%@,haiハイ%@,"-bara, yakara, yakai, tomogara-ばら、 やから、 やかい、 ともがら%@","comrade, fellow, people, companions%@"
穴%@,ketsuケツ%@,anaあな%@,"hole, aperture, slit, cave, den%@"
奇%@,kiキ%@,"ku(shiki), aya(shii), kushi, mezura(shii)く(しき)、 あや(しい)、 くし、 めずら(しい)%@","strange, strangeness, curiosity%@"
慢%@,manマン%@,%@,"ridicule, laziness%@"
鶴%@,kakuカク%@,tsuruつる%@,"crane, stork%@"
謀%@,"bou, muボウ、 ム%@","haka(ru), tabaka(ru), hakarigotoはか(る)、 たばか(る)、 はかりごと%@","conspire, cheat, impose on, plan, devise, scheme, have in mind, deceive%@"
暖%@,"dan, nonダン、 ノン%@",atata(kai)あたた(かい)%@,warmth%@
昌%@,shouショウ%@,sakanさかん%@,"prosperous, bright, clear%@"
拍%@,"haku, hyouハク、 ヒョウ%@",%@,"clap, beat (music)%@"
朗%@,rouロウ%@,"hoga(raka), aki(raka)ほが(らか)、 あき(らか)%@","melodious, clear, bright, serene, cheerful%@"
丈%@,jouジョウ%@,"take, dakeたけ、 だけ%@","length, ten shaku, measure, Mr., Ms., height, stature, all (one has), only, that's all, merely%@"
寛%@,kanカン%@,"kutsuro(gu), hiro(i), yuru(yaka)くつろ(ぐ)、 ひろ(い)、 ゆる(やか)%@","tolerant, leniency, generosity, relax, feel at home, be at ease, broadminded%@"
覆%@,fukuフク%@,"oo(u), kutsugae(su)おお(う)、 くつがえ(す)%@","capsize, cover, shade, mantle, be ruined%@"
胞%@,houホウ%@,%@,"placenta, sac, sheath%@"
泣%@,kyuuキュウ%@,na(ku)な(く)%@,"cry, weep, moan%@"
隔%@,kakuカク%@,heda(teru)へだ(てる)%@,"isolate, alternate, distance, separate, gulf%@"
浄%@,"jou, seiジョウ、 セイ%@","kiyo(meru), kiyo(i)きよ(める)、 きよ(い)%@","clean, purify, cleanse, exorcise, Manchu Dynasty%@"
没%@,"botsu, motsuボツ、 モツ%@","obo(reru), shizu(mu), naiおぼ(れる)、 しず(む)、 ない%@","drown, sink, hide, fall into, disappear, die%@"
暇%@,kaカ%@,itomaひま、 いとま%@,"spare time, rest, leisure, time, leave of absence%@"
肺%@,haiハイ%@,%@,lungs%@
貞%@,"tei, jouテイ、 ジョウ%@","tadashi(i), sadaただし(い)、 さだ%@","upright, chastity, constancy, righteousness%@"
靖%@,"sei, jouセイ、 ジョウ%@",yasu(njiru)やす(んじる)%@,peaceful%@
鑑%@,kanカン%@,"kanga(miru), kagamiかんが(みる)、 かがみ%@","specimen, take warning from, learn from%@"
飼%@,shiシ%@,ka(u)か(う)%@,"domesticate, raise, keep, feed%@"
陰%@,inイン%@,"kage, kage(ru)かげ、 かげ(る)%@","shade, yin, negative, sex organs, secret, shadow%@"
銘%@,meiメイ%@,%@,"inscription, signature (of artisan)%@"
随%@,zuiズイ%@,"manima(ni), shitaga(u)まにま(に)、 したが(う)%@","follow, though, notwithstanding, while, during, both, all, obey, submit to, comply%@"
烈%@,retsuレツ%@,hage(shii)はげ(しい)%@,"ardent, violent, vehement, furious, severe, extreme%@"
尋%@,jinジン%@,"tazu(neru), hiroたず(ねる)、 ひろ%@","inquire, fathom, look for%@"
渕%@,"en, kaku, kouエン、 カク、 コウ%@","fuchi, kata(i), hanawaふち、 かた(い)、 はなわ%@",edge%@
稿%@,kouコウ%@,"wara, shitagakiわら、 したがき%@","draft, copy, manuscript, straw%@"
丹%@,tanタン%@,niに%@,"rust-colored, red, red lead, pills, sincerity%@"
啓%@,keiケイ%@,"hira(ku), sato(su)ひら(く)、 さと(す)%@","disclose, open, say%@"
也%@,"ya, eヤ、 エ%@","nari, ka, mataなり、 か、 また%@",to be (classical)%@
丘%@,kyuuキュウ%@,okaおか%@,"hill, knoll%@"
棟%@,touトウ%@,"mune, muna-むね、 むな-%@","ridgepole, ridge%@"
壌%@,jouジョウ%@,tsuchiつち%@,"lot, earth, soil%@"
漫%@,manマン%@,"midari(ni), sozo(ro)みだり(に)、 そぞ(ろ)%@","cartoon, involuntarily, unrestrained, in spite of oneself, corrupt%@"
玄%@,genゲン%@,"kuro, kuro(i)くろ、 くろ(い)%@","mysterious, occultness, black, deep, profound%@"
粘%@,nenネン%@,neba(ru)ねば(る)%@,"sticky, glutinous, greasy, persevere%@"
悟%@,goゴ%@,sato(ru)さと(る)%@,"enlightenment, perceive, discern, realize, understand%@"
舗%@,hoホ%@,%@,"shop, store, pave%@"
妊%@,"nin, jinニン、 ジン%@","hara(mu), migomo(ru)はら(む)、 みごも(る)%@",pregnancy%@
熟%@,jukuジュク%@,u(reru)う(れる)%@,"mellow, ripen, mature, acquire skill%@"
旭%@,kyokuキョク%@,asahiあさひ%@,"rising sun, morning sun%@"
恩%@,onオン%@,%@,"grace, kindness, goodness, favor, mercy, blessing, benefit%@"
騰%@,touトウ%@,"aga(ru), nobo(ru)あが(る)、 のぼ(る)%@","leaping up, jumping up, rising, advancing, going%@"
往%@,ouオウ%@,"i(ku), inishie, saki(ni), yu(ku)い(く)、 いにしえ、 さき(に)、 ゆ(く)%@","journey, travel, chase away, let go, going, before, formerly%@"
豆%@,"tou, zuトウ、 ズ%@","mame, mame-まめ、 まめ-%@","beans, pea, midget%@"
遂%@,suiスイ%@,"to(geru), tsui(ni)と(げる)、 つい(に)%@","consummate, accomplish, attain, commit (suicide)%@"
狂%@,kyouキョウ%@,kuru(u)くる(う)%@,"lunatic, insane, crazy, confuse%@"
栃%@,%@,tochiとち%@,"horse chestnut, (kokuji)%@"
岐%@,"ki, giキ、 ギ%@",%@,"branch off, fork in road, scene, arena, theater%@"
陛%@,heiヘイ%@,%@,"highness, steps (of throne)%@"
緯%@,iイ%@,"yokoito, nukiよこいと、 ぬき%@","horizontal, woof, left & right, (parallels of) latitude, prediction%@"
培%@,baiバイ%@,tsuchika(u)つちか(う)%@,"cultivate, foster%@"
衰%@,suiスイ%@,otoro(eru)おとろ(える)%@,"decline, wane, weaken%@"
艇%@,teiテイ%@,%@,"rowboat, small boat%@"
屈%@,kutsuクツ%@,kaga(mu)かが(む)%@,"yield, bend, flinch, submit%@"
径%@,keiケイ%@,"michi, komichi, sashiwatashi, tadachiniみち、 こみち、 さしわたし、 ただちに%@","diameter, path, method%@"
淡%@,tanタン%@,awa(i)あわ(い)%@,"thin, faint, pale, fleeting%@"
抽%@,chuuチュウ%@,hiki-ひき-%@,"pluck, pull, extract, excel%@"
披%@,hiヒ%@,%@,"expose, open%@"
廷%@,teiテイ%@,%@,"courts, imperial court, government office%@"
錦%@,kinキン%@,nishikiにしき%@,"brocade, fine dress, honors%@"
准%@,junジュン%@,%@,"quasi-, semi-, associate%@"
暑%@,shoショ%@,atsu(i)あつ(い)%@,"sultry, hot, summer heat%@"
磯%@,kiキ%@,isoいそ%@,"seashore, beach%@"
奨%@,"shou, souショウ、 ソウ%@",susu(meru)すす(める)%@,"exhort, urge, encourage%@"
浸%@,shinシン%@,"hita(su), tsu(karu)ひた(す)、 つ(かる)%@","immersed, soak, dip, steep, moisten, wet, dunk%@"
剰%@,jouジョウ%@,"amatsusae, ama(ri)あまつさえ、 あま(り)%@","surplus, besides%@"
胆%@,tanタン%@,kimoきも%@,"gall bladder, courage, pluck, nerve%@"
繊%@,senセン%@,%@,"slender, fine, thin kimono%@"
駒%@,kuク%@,komaこま%@,"pony, horse, colt%@"
虚%@,"kyo, koキョ、 コ%@","muna(shii),utsu(ro)むな(しい)、 うつ(ろ)%@","void, emptiness, unpreparedness, crack, fissure, untruth%@"
孜%@,shiシ%@,tsuto(meru)つと(める)%@,industriousness%@
霊%@,"rei, ryouレイ、 リョウ%@",tamaたま%@,"spirits, soul%@"
帳%@,chouチョウ%@,tobariとばり%@,"notebook, account book, album, curtain, veil, net, tent%@"
悔%@,kaiカイ%@,"ku(iru), ku(yamu)く(いる)、 く(やむ)%@","repent, regret%@"
諭%@,yuユ%@,sato(su)さと(す)%@,"rebuke, admonish, charge, warn, persuade%@"
惨%@,"san, zanサン、 ザン%@","miji(me), ita(mu), mugo(i)みじ(め)、 いた(む)、 むご(い)%@","wretched, disaster, cruelty, harsh%@"
虐%@,gyakuギャク%@,shiita(geru)しいた(げる)%@,"tyrannize, oppress%@"
翻%@,"hon, hanホン、 ハン%@",hirugae(ru)ひるがえ(る)%@,"flip, turn over, wave, flutter, change (mind)%@"
墜%@,"crash, fall (down)ツイ%@",tsuiお(ちる)、 お(つ)%@,"o(chiru), o(tsu)%@"
沼%@,shouショウ%@,numaぬま%@,"marsh, lake, bog, swamp, pond%@"
据%@,kyoキョ%@,"su(eru), su(waru)す(える)、 す(わる)%@","set, lay a foundation, install, equip, squat down, sit down%@"
肥%@,hiヒ%@,"ko(eru), koe, ko(yasu), futo(ru)こ(える)、 こえ、 こ(やす)、 ふと(る)%@","fertilizer, get fat, fertile, manure, pamper%@"
徐%@,joジョ%@,omomu(roni)おもむ(ろに)%@,"gradually, slowly, deliberately, gently%@"
糖%@,touトウ%@,%@,sugar%@
搭%@,touトウ%@,%@,"board, load (a vehicle), ride%@"
盾%@,junジュン%@,tateたて%@,"shield, escutcheon, pretext%@"
脈%@,myakuミャク%@,sujiすじ%@,"vein, pulse, hope%@"
滝%@,"rou, souロウ、 ソウ%@",takiたき%@,"waterfall, rapids, cascade%@"
軌%@,kiキ%@,%@,"rut, wheel, track, model, way of doing%@"
俵%@,hyouヒョウ%@,tawaraたわら%@,"bag, bale, sack, counter for bags%@"
妨%@,bouボウ%@,samata(geru)さまた(げる)%@,"disturb, prevent, hamper, obstruct%@"
盧%@,roロ%@,%@,hut%@
擦%@,satsuサツ%@,"su(ru), -zu(re), kosu(ru)す.る、 -ず.れ、 こす.る%@","grate, rub, scratch, scrape, chafe, scour%@"
鯨%@,geiゲイ%@,kujiraくじら%@,whale%@
荘%@,"sou, shou, chanソウ、 ショウ、 チャン%@","houki, ogoso(ka)ほうき、 おごそ(か)%@","villa, inn, cottage, feudal manor, solemn, dignified%@"
諾%@,dakuダク%@,%@,"consent, assent, agreement%@"
雷%@,raiライ%@,"kamirari, ikazuchi, ikadzuchiかみなり、 いかずち、 いかづち%@","thunder, lightning bolt%@"
漂%@,hyouヒョウ%@,tadayo(u)ただよ(う)%@,"drift, float (on liquid)%@"
